tile,x0,x1,y0,y1,lat_min,lat_max,lon_min,lon_max,lat0,lon0,dlat,dlon,lat_sign,lon_sign,lat_anchor_idx,lon_anchor_idx,lat0_deg,lat0_min,lon0_deg,lon0_min
tile_r00_c00.png,2,255,2,431,40.833333333333336,40.85,140.7,140.71666666666667,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r00_c01.png,259,675,2,431,40.833333333333336,40.85,140.71666666666667,140.73333333333335,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r00_c02.png,679,1096,2,431,40.833333333333336,40.85,140.73333333333335,140.75,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r00_c03.png,1100,1516,2,431,40.833333333333336,40.85,140.75,140.76666666666668,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r00_c04.png,1520,1917,2,431,40.833333333333336,40.85,140.76666666666668,140.78333333333336,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r01_c00.png,2,255,435,987,40.833333333333336,40.85,140.7,140.71666666666667,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r01_c01.png,259,675,435,987,40.833333333333336,40.85,140.71666666666667,140.73333333333335,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r01_c02.png,679,1096,435,987,40.833333333333336,40.85,140.73333333333335,140.75,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r01_c03.png,1100,1516,435,987,40.833333333333336,40.85,140.75,140.76666666666668,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r01_c04.png,1520,1917,435,987,40.833333333333336,40.85,140.76666666666668,140.78333333333336,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r02_c00.png,2,255,991,1197,40.833333333333336,40.85,140.7,140.71666666666667,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r02_c01.png,259,675,991,1197,40.833333333333336,40.85,140.71666666666667,140.73333333333335,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r02_c02.png,679,1096,991,1197,40.833333333333336,40.85,140.73333333333335,140.75,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r02_c03.png,1100,1516,991,1197,40.833333333333336,40.85,140.75,140.76666666666668,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
tile_r02_c04.png,1520,1917,991,1197,40.833333333333336,40.85,140.76666666666668,140.78333333333336,40.85,140.71666666666667,0.016666666666666666,0.016666666666666666,-1,1,0,0,40.0,51.0,140.0,43.0
